id,file,procedure,header,tags
bbee5ea3,find_surface_model.hdev,main,*********************************************************************** Example for Surface-Based 3D Matching This example shows Surface-Based 3D Matching on data taken with a Time-of-flight camera (T...,"hdev,halcon-25.05.0.0,file-v1.2"
515b4a4d,find_surface_model_noisy_data.hdev,main,*********************************************************************** Example for surface-based 3D matching with very noisy data This example shows the surface-based 3D matching on data taken with a...,"hdev,halcon-25.05.0.0,file-v1.2"
95c16880,find_surface_model_restrict_rotation_range.hdev,main,*********************************************************************** Example for restricting the pose range in Surface-Based 3D Matching This example shows how the allowed range of rotations can be...,"hdev,halcon-25.05.0.0,file-v1.2"
01a17f8d,find_surface_model_self_similar_poses.hdev,main,*********************************************************************** Example for surface-based 3D matching with self-similar poses. This example shows how to use surface-based matching if the objec...,"hdev,halcon-25.05.0.0,file-v1.2"
2bc27e8c,find_surface_model_view_based_score.hdev,main,"This example shows how to use the view-based score computation in surface-based matching. In order to use the view-based score computation, the surface-based model should be created with 'train_view_b...","hdev,halcon-25.05.0.0,file-v1.2"
bb9f7cda,find_surface_model_with_edges.hdev,main,"Example for edge-supported surface-based matching This example demonstrates how to use edge-supported surface-based matching. I shows, how to cope with edges stemming from the boundary of the scene, h...","hdev,halcon-25.05.0.0,file-v1.2"
2f753c42,find_surface_model_with_edges_simple.hdev,main,"Simple example for edge-supported surface-based matching. This example demonstrates how to use edge-supported surface-based matching, with and without images.","hdev,halcon-25.05.0.0,file-v1.2"
964c31c4,find_symmetric_3d_objects.hdev,main,This example shows how the symmetry of 3D object models can be used to speed up the surface-based matching. The symmetry of an object must be manually set with set_surface_model_param and will then au...,"hdev,halcon-25.05.0.0,file-v1.2"
de84c15f,gen_primitives_object_model_3d.hdev,main,"This example program shows how to use the operators gen_plane_object_model_3d, gen_sphere_object_model_3d_center gen_sphere_object_model_3d, gen_cylinder_object_model_3d, and gen_box_object_model_3d i...","hdev,halcon-25.05.0.0,file-v1.2"
da5915e0,read_object_model_3d_generic_ascii.hdev,main,This example shows how to use the operator read_object_model_3d with 'file_type' 'generic_ascii'. This format can be used to read different ASCII files containing 3D point data in tabular form. The fi...,"hdev,halcon-25.05.0.0,file-v1.2"
0e4cb14d,set_object_model_3d_attrib.hdev,main,This example program shows how to use the operators set_object_model_3d_attrib and set_object_model_3d_attrib_mod to set attributes in a 3D object model. It also shows how to use the operators remove_...,"hdev,halcon-25.05.0.0,file-v1.2"
8ed9a279,moments_object_model_3d.hdev,main,"Object models e.g., acquired with a 3D sensor can have an object coordinate system, that is not aligned with the major axes of the object. If the object has a ridge, it is desirable that the object co...","hdev,halcon-25.05.0.0,file-v1.2"
ea05d7aa,select_object_model_3d.hdev,main,"************************************************************ This example program shows how to use the operators connection_object_model_3d and select_object_model_3d in HALCON. First, a threshold is ...","hdev,halcon-25.05.0.0,file-v1.2"
304931d2,smallest_bounding_box_object_model_3d.hdev,main,****************************************************************** This example program shows how to use the operator smallest_bounding_box_object_model_3d in HALCON. *********************************...,"hdev,halcon-25.05.0.0,file-v1.2"
385ec3e9,fit_primitives_object_model_3d.hdev,main,"*********************************************************************** This example program shows how to use the operator fit_object_model_3d in HALCON. First, the 2.5D input image is segmented with ...","hdev,halcon-25.05.0.0,file-v1.2"
04de6524,measure_plant.hdev,main,************************************************************ This examples shows how to measure some features of plants * in 3D.                                                     * * The structure o...,"hdev,halcon-25.05.0.0,file-v1.2"
74ca39c8,reduce_object_model_3d_by_view.hdev,main,"******************************************************** This example program shows how to remove parts of a 3D object model using reduce_object_model_3d_by_view. In particular, the user can rotate an...","hdev,halcon-25.05.0.0,file-v1.2"
71778ce7,reduce_object_model_3d_to_visible_parts.hdev,main,"This example shows how to reduce a 3D object model to the triangles visible for a virtual camera with defined camera parameters and pose. This can, e.g., be helpful when you are working with detailed ...","hdev,halcon-25.05.0.0,file-v1.2"
7e57c34a,remove_background_for_3d_object_localization.hdev,main,******************************************* This example shows some major             * approaches in order to remove background  * in 3D scenes.                             * * It exemplifies the fol...,"hdev,halcon-25.05.0.0,file-v1.2"
3eec1308,remove_bin_for_3d_object_localization.hdev,main,******************************************* This example shows some major            * approaches in order to reduce a 3D scene * to the objects inside a bin.             * * It exemplifies the follow...,"hdev,halcon-25.05.0.0,file-v1.2"
8513ee98,sample_object_model_3d.hdev,main,This example shows how the number of points in a 3D object model can be reduced by sampling the points. Different methods are possible to ensure an even distribution of the points after the sampling. ...,"hdev,halcon-25.05.0.0,file-v1.2"
7a6e0bf1,segment_object_model_3d.hdev,main,"*********************************************************************** This example program shows how to use the operator segment_object_model_3d in HALCON. First, the 2.5D input image is segmented. ...","hdev,halcon-25.05.0.0,file-v1.2"
f03aa0e5,select_points_object_model_3d.hdev,main,************************************************************** This example program shows how to remove parts of a 3D object model based on thresholds that are applied to the model's attributes with s...,"hdev,halcon-25.05.0.0,file-v1.2"
3e2903f5,select_points_object_model_3d_by_density.hdev,main,"This example shows how sparse points, that often indicate noisy or inaccurate measurements, can be removed from 3D object models elegantly. The example shows three methods: - 2 methods based on the 3D...","hdev,halcon-25.05.0.0,file-v1.2"
3eee21bd,connection_object_model_3d.hdev,main,*********************************************************** This example program shows how to use the operator connection_object_model_3d in HALCON. The connected components are calculated based on th...,"hdev,halcon-25.05.0.0,file-v1.2"
f683c64c,fuse_object_model_3d_workflow.hdev,main,"This example shows the fusion of multiple 3D object models into one surface, along with the suggested workflow to prepare and execute this fusion. Prepare window.","hdev,halcon-25.05.0.0,file-v1.2"
d39f044d,interactive_intersection.hdev,main,"******************************************************************** This program shows how to calculate the intersection between a 3D object model and a plane. If you start the program, on the left, ...","hdev,halcon-25.05.0.0,file-v1.2"
931d78df,intersect_plane_object_model_3d.hdev,main,******************************************************************** This program shows how to calculate the intersection between a 3D object model and a plane. The intersection is calculated with the...,"hdev,halcon-25.05.0.0,file-v1.2"
1c9e5372,projective_trans_object_model_3d.hdev,main,"This example program shows how to use the operator projective_trans_object_model_3d in HALCON.  In this example some cubes are created by different means. After that, the cubes are transformed with a ...","hdev,halcon-25.05.0.0,file-v1.2"
d1ff0665,rigid_trans_object_model_3d.hdev,main,"This example program shows how to use the operator rigid_trans_object_model_3d in HALCON. In this example a cylinder is created. In a second step, the cylinder is transformed with a rigid transformati...","hdev,halcon-25.05.0.0,file-v1.2"
3a7bbe9e,simplify_object_model_3d.hdev,main,This program shows how to use simplify_object_model_3d to simplify a complex 3d object model to different degrees.,"hdev,halcon-25.05.0.0,file-v1.2"
045524bf,smooth_object_model_3d.hdev,main,*************************************************************** This example program shows how noisy point clouds can be filtered and smoothed. Smoothing a point cloud can be useful in various situati...,"hdev,halcon-25.05.0.0,file-v1.2"
9288eb12,triangulate_object_model_3d_greedy.hdev,main,This example program demonstrates how to use the operator triangulate_object_model_3d Init visualization,"hdev,halcon-25.05.0.0,file-v1.2"
5819fe97,triangulate_object_model_3d_implicit.hdev,main,This example program demonstrates how to use the operator triangulate_object_model_3d Init visualization,"hdev,halcon-25.05.0.0,file-v1.2"
1f01a584,triangulate_object_model_3d_xyz_mapping.hdev,main,"This example shows how to use the mapping-based 3D object model triangulation, which triangulates the points in 2D according to a 2D mapping contained in the input object model. When a 2D mapping is a...","hdev,halcon-25.05.0.0,file-v1.2"
d26b956d,xyz_attrib_to_object_model_3d.hdev,main,"This example program shows the usage of the procedure xyz_attrib_to_object_model_3d. It can be used to create 3D object models from X, Y and Z images, and simultaneously attach attributes to every poi...","hdev,halcon-25.05.0.0,file-v1.2"
aefcd61e,binocular_disparity.hdev,main,"Example program to demonstrate the operator binocular_disparity A pair of epipolar images (which are already rectified and have parallel, horizontal epipolar lines) will be processed.","hdev,halcon-25.05.0.0,file-v1.2"
ed1f96f2,binocular_disparity_comparison.hdev,main,"This example program compares the three stereo operators binocular_disparity, binocular_disparity_ms, and binocular_disparity_mg in terms of execution time and accuracy. The accuracy is measured by th...","hdev,halcon-25.05.0.0,file-v1.2"
a7e90820,binocular_disparity_mg.hdev,main,This example program shows how to use binocular_disparity_mg to determine the disparities of the components on a PCB with different levels of accuracy.,"hdev,halcon-25.05.0.0,file-v1.2"
4142675d,binocular_disparity_ms.hdev,main,This example demonstrates the functionality binocular_disparity_ms It explains the most important parameters and calculates the disparities of the components on a PCB,"hdev,halcon-25.05.0.0,file-v1.2"
64c21c9d,binocular_disparity_segmentation.hdev,main,"Example program to illustrate the 'binocular_disparity' operator. The program generates an artificial epipolar stereo image pair of constant, good texture. These images hide a circle in front of a bac...","hdev,halcon-25.05.0.0,file-v1.2"
2efc0659,binocular_distance_mg.hdev,main,This example program shows how to use binocular_distance_mg to determine the depth of the components on a PCB with high accuracy.,"hdev,halcon-25.05.0.0,file-v1.2"
3eddf204,binocular_distance_ms.hdev,main,This example program shows how to use binocular_distance_ms to determine the depth of the components on a PCB.,"hdev,halcon-25.05.0.0,file-v1.2"
f5189650,disparity_image_to_xyz.hdev,main,"This example describes how to use the operator 'disparity_image_to_xyz'. The usage of the operator is shown on two images of a board obtained from a stereo setup of two cameras (left: 'camera1', right...","hdev,halcon-25.05.0.0,file-v1.2"
67b93e60,disparity_to_point_3d.hdev,main,Example program to illustrate the operator 'disparity_to_point_3d' The following algorithm is performed to an original and a rectified binocular camera system: 1) two cameras are defined; 2) one (virt...,"hdev,halcon-25.05.0.0,file-v1.2"
1442cb4e,intersect_lines_of_sight.hdev,main,Example program to illustrate the operator 'intersect_lines_of_sight' The following algorithm is performed for an original and a rectified binocular camera system: 1) Two cameras are defined; 2) One (...,"hdev,halcon-25.05.0.0,file-v1.2"
0440c1d7,match_fundamental_matrix_distortion_ransac_general.hdev,main,This example shows how to use match_fundamental_matrix_distortion_ransac in an application in which the camera performs an arbitrary motion. In this example the disparity map of a scene is calculated ...,"hdev,halcon-25.05.0.0,file-v1.2"
b35388c7,match_fundamental_matrix_distortion_ransac_trans.hdev,main,"This example shows how to use match_fundamental_matrix_distortion_ransac in an application in which the camera is mounted stationary above a conveyor belt. Therefore, the motion of the object between ...","hdev,halcon-25.05.0.0,file-v1.2"
ca33f3fa,uncalib_stereo_boxes.hdev,main,************************************************************************************************** PILED BOXES Take two images with single calibrated camera mounted on a moving robot arm. Uncalibrated...,"hdev,halcon-25.05.0.0,file-v1.2"
b84d26ca,vector_to_fundamental_matrix_distortion.hdev,main,This example shows that the reconstruction that can be achieved with uncalibrated stereo is only possible up to an arbitrary 3D projective transformation if the camera undergoes a general motion that ...,"hdev,halcon-25.05.0.0,file-v1.2"
573fa9f7,depth_from_focus.hdev,main,,"hdev,halcon-25.05.0.0,file-v1.2"
3b26bed4,reconstruct_points_stereo.hdev,main,"This program demonstrates how to use the operator reconstruct_points_stereo. First, we extract the marks on a calibration plate as seen by a multi-view stereo setup consisting of four cameras. Then, w...","hdev,halcon-25.05.0.0,file-v1.2"
9274c185,reconstruct_surface_mixed_camera_types.hdev,main,"This example shows how to use a mixed camera setup with two telecentric and one perspective cameras to perform a 3D reconstruction. In the first step, the mixed setup is calibrated. Then the operator ...","hdev,halcon-25.05.0.0,file-v1.2"
8fbb9783,reconstruct_surface_stereo_disparity_method.hdev,main,This example creates a 3D model from 4 images taken from different points of view. The program is split into 3 parts: 1) Perform a full 3D reconstruction from 4 images using three different methods. T...,"hdev,halcon-25.05.0.0,file-v1.2"
c3d7fecd,reconstruct_surface_stereo_fusion.hdev,main,This example shows the 3D reconstruction of several objects from multiple cameras with the 'surface_fusion' method. The fusion method generates a closed surface and uses the pairwise method to generat...,"hdev,halcon-25.05.0.0,file-v1.2"
720054ad,reconstruct_surface_stereo_fusion_workflow.hdev,main,"This example creates a 3D model from 3 images taken from different points of view. It shows the recommended workflow necessary for the 'surface_fusion' method, which fuses the result of pairwise recon...","hdev,halcon-25.05.0.0,file-v1.2"
b2e8fe99,reconstruct_surface_stereo_pairwise_workflow.hdev,main,This example creates a 3D model from 4 images taken from different points of view. It shows the recommended workflow necessary for pairwise reconstruction. Prepare visualization.,"hdev,halcon-25.05.0.0,file-v1.2"
dfe9567a,calibrate_sheet_of_light_3d_calib_object.hdev,main,"This example shows how to calibrate a sheet-of-light setup with calibrate_sheet_of_light. In order to use calibrate_sheet_of_light, you need a 3D calibration object. You can create a CAD model of the ...","hdev,halcon-25.05.0.0,file-v1.2"
8d8594c5,structured_light_3d_surface_reconstruction.hdev,main,This example shows the main workflow necessary when using the structured light method for 3D surface reconstruction on diffuse reflecting surfaces. It can be used as a template for your own applicatio...,"hdev,halcon-25.05.0.0,file-v1.2"
8c630499,structured_light_calibration.hdev,main,This example shows the workflow necessary when calibrating a structured light setup for the 3D surface reconstruction of diffuse reflecting surfaces. It can be used as a template for your own applicat...,"hdev,halcon-25.05.0.0,file-v1.2"
417e63a5,inspect_shampoo_label.hdev,main,"This example program checks the right position of a label on a shampoo bottle. First, two shape models for the bottle and the label are created. Then, the models are searched in a sequence of images, ...","hdev,halcon-25.05.0.0,file-v1.2"
dcb75f37,circular_barcode.hdev,main,Read circularly printed bar codes.,"hdev,halcon-25.05.0.0,file-v1.2"
019bdc2a,battery_electrode_sheet_inspection.hdev,main,"This example illustrates the inspection process for        * electrode sheets, specifically focusing on the coating     * of aluminum cathodes. In battery production, detecting     * coating defects s...","hdev,halcon-25.05.0.0,file-v1.2"
1341e81e,detect_3d_defects_on_battery_surface.hdev,main,"************************************************************ * This example shows the detection of 3D defects on unrolled surfaces of cylindric batteries. In a first step, the 3D point cloud is smooth...","hdev,halcon-25.05.0.0,file-v1.2"
b0cfe4c9,inspect_and_identify_battery_cells.hdev,main,************************************************************ * This application example shows the inspection of a cylindrical battery cell from two views (top and side). The program shows HALCON funct...,"hdev,halcon-25.05.0.0,file-v1.2"
f7a5f5a5,classify_fuses_gmm_based_lut.hdev,main,In this example five different color fuses are segmented with a look-up table classifier (LUT) based on a Gaussian Mixture Model (GMM).,"hdev,halcon-25.05.0.0,file-v1.2"
8f4ab279,color_fuses_lut_trans.hdev,main,color_fuses_lut_trans.hdev: classify fuses by color,"hdev,halcon-25.05.0.0,file-v1.2"
0557e14f,ball.hdev,main,ball.hdev: Inspection of Ball Bonding,"hdev,halcon-25.05.0.0,file-v1.2"
28125d9e,board.hdev,main,board.hdev: Detection of missing solder,"hdev,halcon-25.05.0.0,file-v1.2"
dd0fd654,check_blister.hdev,main,This example demonstrates an application from the pharmaceutical industry. The task is to check the content of automatically filled blisters. The first image (reference) is used to locate the chambers...,"hdev,halcon-25.05.0.0,file-v1.2"
9d53ca02,check_blister_mixed.hdev,main,"This example demonstrates an application from the pharmaceutical industry. The task is to check the content of manually filled blisters. The first image (reference) shows the combination, that is requ...","hdev,halcon-25.05.0.0,file-v1.2"
96aa8502,check_bottle_crate.hdev,main,"This example counts bottles in bottle crates of returned empties. With diffuse front light, correctly inserted bottles can be segmented relatively easy with a simple thresholding operation, followed b...","hdev,halcon-25.05.0.0,file-v1.2"
d0355e6f,check_cable_labels.hdev,main,"This example shows how the operator find_ncc_models can be used to search multiple models in an image using just one operator call. In the presented application, the correct type of cable is determine...","hdev,halcon-25.05.0.0,file-v1.2"
916dd960,check_hazelnut_wafers.hdev,main,This example demonstrates a quality inspection on hazelnut wavers. Using the morphology tools the waver is extracted and examined according to a few shape features like Rectangularity and AreaHoles. T...,"hdev,halcon-25.05.0.0,file-v1.2"
63ef0b2a,check_soft_cheese.hdev,main,"The following example shows a production line, which carries packages of soft cheese. The cheese packages consist of three types of flavor: cream, ham and paprika. During quality inspection each packa...","hdev,halcon-25.05.0.0,file-v1.2"
a451d292,color_segmentation_pizza.hdev,main,This example demonstrates the color space transformation. The salami pieces on the pizza are segmented by transforming the RGB image into the CIELab color space. In the b-channel of the transformed im...,"hdev,halcon-25.05.0.0,file-v1.2"
210cc17b,count_fish_sticks.hdev,main,"This program performs a completeness check by counting the fish sticks contained in each package. Here, one-dimensional measuring tools are used to determine the boundary between adjacent fish sticks.","hdev,halcon-25.05.0.0,file-v1.2"
6623dba3,ic.hdev,main,,"hdev,halcon-25.05.0.0,file-v1.2"
33c0f0f1,inspect_bottle_mouth.hdev,main,"This example checks bottle necks for defects. First, the bottle is detected with basic morphology, edge detection and circle fitting. Then, the neck area is transformed with a polar transformation. Af...","hdev,halcon-25.05.0.0,file-v1.2"
d1649c30,inspect_solar_fingers.hdev,main,"For the solar industry, a common problem is the damage of fingers of solar cells. This example shows how to extract the broken fingers using morphology.","hdev,halcon-25.05.0.0,file-v1.2"
d65a266c,segment_plants.hdev,main,This example segments plants in images taken under uncontrolled conditions with varying background.,"hdev,halcon-25.05.0.0,file-v1.2"
5c875e92,aztec_optimized_settings.hdev,main,***************************************************************** This example program demonstrates how to read Aztec data codes with manually adapted parameter settings to optimize the recognition an...,"hdev,halcon-25.05.0.0,file-v1.2"
b1271188,aztec_simple.hdev,main,************************************************************* This example program demonstrates how to read 2d data codes of the symbol type 'Aztec Code'. In the first step a data code model is create...,"hdev,halcon-25.05.0.0,file-v1.2"
000b4df4,dotcode_optimized_settings.hdev,main,***************************************************************** This example program demonstrates how to read DotCode data codes with manually adapted parameter settings to optimize the recognition ...,"hdev,halcon-25.05.0.0,file-v1.2"
c5d24ded,dotcode_simple.hdev,main,************************************************************* This example program demonstrates how to read 2d data codes of the symbol type 'DotCode'. In the first step a data code model is created. ...,"hdev,halcon-25.05.0.0,file-v1.2"
2624366a,ecc200_optimized_settings.hdev,main,***************************************************************** This example program demonstrates how to read 2d data codes of the symbol type 'Data Matrix ECC 200' with manually adapted parameter s...,"hdev,halcon-25.05.0.0,file-v1.2"
141657c0,ecc200_simple.hdev,main,************************************************************* This example program demonstrates how to read 2d data codes of the symbol type 'Data Matrix ECC 200'. In the first step a data code model ...,"hdev,halcon-25.05.0.0,file-v1.2"
4b61e661,micro_qr_optimized_settings.hdev,main,***************************************************************** This example program demonstrates how to read Micro QR codes with manually adapted parameter settings to optimize the recognition and ...,"hdev,halcon-25.05.0.0,file-v1.2"
ef229d31,micro_qr_simple.hdev,main,************************************************************* This example program demonstrates how to read 2d data codes of the symbol type 'Micro QR Code'. In the first step a data code model is cre...,"hdev,halcon-25.05.0.0,file-v1.2"
2866262d,pdf417_bottle.hdev,main,This programs shows how to read 2d data codes of type PDF 417.,"hdev,halcon-25.05.0.0,file-v1.2"
56274df6,pdf417_optimized_settings.hdev,main,*************************************************************** This example program demonstrates how to read PDF417 data codes with manually adapted parameter settings to optimize the recognition and...,"hdev,halcon-25.05.0.0,file-v1.2"
cf866628,pdf417_simple.hdev,main,*********************************************************** This example program demonstrates how to read 2d data codes of the symbol type 'PDF417'. In the first step a data code model is created. In ...,"hdev,halcon-25.05.0.0,file-v1.2"
a37c0d0c,qrcode_optimized_settings.hdev,main,*********************************************************** This example program demonstrates how to read QR codes with manually adapted parameter settings to optimize the recognition and runtime. The...,"hdev,halcon-25.05.0.0,file-v1.2"
2dcee219,qrcode_simple.hdev,main,************************************************************* This example program demonstrates how to read 2d data codes of the symbol type 'QR Code'. In the first step a data code model is created. ...,"hdev,halcon-25.05.0.0,file-v1.2"
db72ce89,correct_vignetting.hdev,main,"This example shows how to perform a vignetting correction. By taking a reference image of a homogeneously lighted surface, the increasing gray value attenuation towards the image borders can be correc...","hdev,halcon-25.05.0.0,file-v1.2"
4701376a,create_high_dynamic_range_image.hdev,main,This example shows how high dynamic range images can be created from multiple input images (acquired with different exposure times) by manipulating the image gradient.,"hdev,halcon-25.05.0.0,file-v1.2"
8afa8a11,determine_sharpness.hdev,main,"This example shows how to measure the sharpness of an image using four characteristic quantities. These are the Blurriness (Auto-Correlation), the  Image Difference of local neighborhoods (Difference)...","hdev,halcon-25.05.0.0,file-v1.2"
0c7b33a0,paddle_game.hdev,main,"With this HDevelop program, you can play the Paddle Game with either one or two players. A paddle is created between the end points of two separate regions. You can control a paddle by holding, for ex...","hdev,halcon-25.05.0.0,file-v1.2"
416f8d18,sony_polarsens_polarization_angle_degree.hdev,main,This example demonstrates how to calculate the polarization angle and the degree of polarization of the light recorded with a SONY Polarsens polarization sensor. The image must be acquired in RAW form...,"hdev,halcon-25.05.0.0,file-v1.2"
8d375a3e,angio.hdev,main,,"hdev,halcon-25.05.0.0,file-v1.2"
d98174ff,apply_metrology_model_diamond.hdev,main,"This program shows how to detect the edges of a diamond with subpixel accuracy and calculate the angle between them. In contrast to the example measure_diamond.hdev, this example uses a metrology mode...","hdev,halcon-25.05.0.0,file-v1.2"
72f019a4,ball_seq.hdev,main,ball_seq.hdev: Inspection of Ball Bonding,"hdev,halcon-25.05.0.0,file-v1.2"
2e954dd3,check_fish_stick_dimension.hdev,main,"In this program the size of raw fish sticks is measured before they are coated with bread crumbs. First, the fish sticks are segmented from the background. Then, their dimensions are measured, compare...","hdev,halcon-25.05.0.0,file-v1.2"
74219caa,circles.hdev,main,"The edges in the image are segmented into lines and circles. For the edges that are part of a circle, the circle parameters are estimated and the resulting circle is displayed.","hdev,halcon-25.05.0.0,file-v1.2"
54722552,correct_measure_direction.hdev,main,This program demonstrates the automatic refinement of the orientation of a measure object used for 1D measuring. If the ROI for the measurement entered by the user is not exactly perpendicular to the ...,"hdev,halcon-25.05.0.0,file-v1.2"
8e79df65,determine_die_pitch_fft_correlation.hdev,main,"Determine the location of single dies on a wafer by using auto-correlation techniques in the frequency domain. The image of the wafer is correlated with itself in the frequency domain. Afterwards, the...","hdev,halcon-25.05.0.0,file-v1.2"
a74f8a5f,extract_clips_xl.hdev,main,"This program demonstrates the processing of a large image with HALCON XL. First, a large image is created. Then, all clips are segmented and their orientation is calculated. Finally, to show the dimen...","hdev,halcon-25.05.0.0,file-v1.2"
ce2080dd,fin.hdev,main,fin.hdev: Detection of a fin,"hdev,halcon-25.05.0.0,file-v1.2"
82a47f29,fuzzy_measure_pin.hdev,main,Example for the application of the fuzzy measure tool including a lot of visualization operators,"hdev,halcon-25.05.0.0,file-v1.2"
13546c21,holes.hdev,main,,"hdev,halcon-25.05.0.0,file-v1.2"
8d60f9cc,hull.hdev,main,,"hdev,halcon-25.05.0.0,file-v1.2"
0af66fae,inspect_frame_width.hdev,main,This program shows how to calculate the pointwise distance of two contours to inspect the camera frame of a phone housing. It uses the operator distance_contours_xld to calculate the distance between ...,"hdev,halcon-25.05.0.0,file-v1.2"
d0c8895d,inspect_gasket_local_deformable.hdev,main,This example program shows how to use local deformable matching to find and inspect objects that are deformed.,"hdev,halcon-25.05.0.0,file-v1.2"
3f52ecfe,inspect_harddisk_temperature.hdev,main,"This example shows the infrared image of a harddisk, that is tested for heat emission. The user knows beforehand, which areas on the disk must have a specific temperature, so he can define these regio...","hdev,halcon-25.05.0.0,file-v1.2"
49e8ef03,measure_arc.hdev,main,Example for the application of the measure package including a lot of visualization operators,"hdev,halcon-25.05.0.0,file-v1.2"
b71934cc,measure_ball_bond.hdev,main,"This example demonstrates the optical inspection after a ball bonding process on a chip. First, the pads are extracted. Then, the ball bonds are searched within the pad area. For all ball bonds that a...","hdev,halcon-25.05.0.0,file-v1.2"
6e3131ec,measure_circuit_width_lines_gauss.hdev,main,"This program shows how to measure the width of pcb tracks. First, we use the operator lines_gauss to determine the width of the tracks. Afterwards, the width is checked at every point along the tracks...","hdev,halcon-25.05.0.0,file-v1.2"
ba5bddfc,measure_diamond.hdev,main,"This program shows how to detect the edges of a diamond with subpixel accuracy and how to determine the position of the diamond's vertex. First, we segment the diamond using a threshold image and extr...","hdev,halcon-25.05.0.0,file-v1.2"
5f22ea0b,measure_fill_level.hdev,main,"In this example a fill level check for the pharmaceutical industry is demonstrated. The task is to check for the fill level of each single nose drop ampoule. To do so, we first locate each ampoule hea...","hdev,halcon-25.05.0.0,file-v1.2"
35d7dc86,measure_lcd_cells.hdev,main,"This example shows how to robustly measure the width of frames in between the cells of an LCD display, using the measure tool. There are two basic difficulties in this task: 1. The frames have a very ...","hdev,halcon-25.05.0.0,file-v1.2"
0648372b,measure_pads_subpix.hdev,main,"Measure the dimensions of pads on a die with subpixel precision to make sure that the chip production is accurate and is applied according to the CAD data. To check and count the pads, the camera move...","hdev,halcon-25.05.0.0,file-v1.2"
33c9eee2,measure_pin.hdev,main,Pin Measurement: Example for the application of the measure package including a lot of visualization operators,"hdev,halcon-25.05.0.0,file-v1.2"
7698690f,measure_stamping_part.hdev,main,This program shows how the metrology model can be used to obtain calibrated measurements for various geometric forms lying in a plane. The parameters of the geometric forms are derived from a model im...,"hdev,halcon-25.05.0.0,file-v1.2"
b9e4059f,measure_tft_cells.hdev,main,This example demonstrates how to measure the dimensions of the cells of a TFT LCD display. Two factors have to be considered in order to achieve both robust and accurate results: 1. Blue cells are ver...,"hdev,halcon-25.05.0.0,file-v1.2"
5253b3cc,particle.hdev,main,particle.hdev: Measurement of small particles,"hdev,halcon-25.05.0.0,file-v1.2"
02a41b83,pm_measure_board.hdev,main,"This example program shows the use of pattern matching with shape matching to locate an object. Furthermore, it shows how to use the detected position and rotation of the found instance to construct s...","hdev,halcon-25.05.0.0,file-v1.2"
